experiment,model,feature_set,test_count,accuracy,auc,precision_label1,recall_label1,f1_label1,precision_label0,recall_label0,f1_label0,tp,tn,fp,fn
Experiment 1,Logistic Regression,Financial-only,4343,0.5252129864149205,0.7081405907753332,0.9551451187335093,0.4779508846052284,0.63709961281239,0.19240196078431374,0.8471223021582733,0.31358189081225035,1810.0,471.0,85.0,1977.0
Experiment 2,Binary SVM,Financial-only,4343,0.413078517154041,0.7255900059461279,0.9654135338345865,0.33905466068127804,0.5018565565761188,0.1692665117822768,0.9172661870503597,0.2857943401513029,1284.0,510.0,46.0,2503.0
Experiment 3,Logistic Regression,Financial+Sentiment,4343,0.5252129864149205,0.708106870722065,0.9546652609383237,0.47821494586744123,0.6372273047149895,0.19215044971381848,0.8453237410071942,0.313124583610926,1811.0,470.0,86.0,1976.0
Experiment 4,Binary SVM,Financial+Sentiment,4343,0.413078517154041,0.7260535379459833,0.9654135338345865,0.33905466068127804,0.5018565565761188,0.1692665117822768,0.9172661870503597,0.2857943401513029,1284.0,510.0,46.0,2503.0
